cas,datum
2023-07-05T13:32:03+02:00,05.07.2023.
2023-08-21T19:48:49+02:00,21.08.2023.
2023-08-21T19:36:14+02:00,21.08.2023.
2023-08-21T18:01:21+02:00,21.08.2023.
2023-08-21T17:02:25+02:00,21.08.2023.
2023-08-21T15:54:28+02:00,21.08.2023.
2023-08-21T15:28:38+02:00,21.08.2023.
2023-08-21T14:18:39+02:00,21.08.2023.
2023-08-21T14:17:29+02:00,21.08.2023.
2023-08-21T14:16:16+02:00,21.08.2023.
2023-08-21T14:16:06+02:00,21.08.2023.
2023-08-21T13:57:18+02:00,21.08.2023.
2023-08-21T13:51:21+02:00,21.08.2023.
2023-08-21T12:26:46+02:00,21.08.2023.
2023-08-21T12:09:51+02:00,21.08.2023.
2023-08-21T10:53:44+02:00,21.08.2023.
2023-08-21T10:52:21+02:00,21.08.2023.
2023-08-21T10:36:48+02:00,21.08.2023.
2023-08-21T10:24:00+02:00,21.08.2023.
2023-08-21T10:16:46+02:00,21.08.2023.
2023-08-21T09:36:28+02:00,21.08.2023.
2023-08-21T09:21:34+02:00,21.08.2023.
2023-08-21T09:11:13+02:00,21.08.2023.
2023-08-21T09:10:11+02:00,21.08.2023.
2023-08-21T08:45:48+02:00,21.08.2023.
2023-08-21T08:40:56+02:00,21.08.2023.
2023-07-05T13:32:03+02:00,05.07.2023.
2023-08-21T19:48:49+02:00,21.08.2023.
2023-08-21T19:36:14+02:00,21.08.2023.
2023-08-21T18:01:21+02:00,21.08.2023.
2023-08-21T17:02:25+02:00,21.08.2023.
2023-08-21T15:54:28+02:00,21.08.2023.
2023-08-21T15:28:38+02:00,21.08.2023.
2023-08-21T14:18:39+02:00,21.08.2023.
2023-08-21T14:17:29+02:00,21.08.2023.
2023-08-21T14:16:16+02:00,21.08.2023.
2023-08-21T14:16:06+02:00,21.08.2023.
2023-08-21T13:57:18+02:00,21.08.2023.
2023-08-21T13:51:21+02:00,21.08.2023.
2023-08-21T12:26:46+02:00,21.08.2023.
2023-08-21T12:09:51+02:00,21.08.2023.
2023-08-21T10:53:44+02:00,21.08.2023.
2023-08-21T10:52:21+02:00,21.08.2023.
2023-08-21T10:36:48+02:00,21.08.2023.
2023-08-21T10:24:00+02:00,21.08.2023.
2023-08-21T10:16:46+02:00,21.08.2023.
2023-08-21T09:36:28+02:00,21.08.2023.
2023-08-21T09:21:34+02:00,21.08.2023.
2023-08-21T09:11:13+02:00,21.08.2023.
2023-08-21T09:10:11+02:00,21.08.2023.
2023-08-21T08:45:48+02:00,21.08.2023.
2023-08-21T08:40:56+02:00,21.08.2023.
2023-08-20T10:38:10+02:00,20.08.2023.
2023-08-20T10:33:43+02:00,20.08.2023.
2023-08-20T08:44:28+02:00,20.08.2023.
2023-08-20T08:44:28+02:00,20.08.2023.
2023-08-20T08:13:51+02:00,20.08.2023.
2023-08-20T08:03:14+02:00,20.08.2023.
2023-08-20T07:59:24+02:00,20.08.2023.
